"Year","Country","Quality.of.Life.Index","Purchasing.Power.Index","Safety.Index","Health.Care.Index","Cost.of.Living.Index","Property.Price.to.Income.Ratio","Traffic.Commute.Time.Index","Pollution.Index","Climate.Index"
2014,"Greece",77.5,44.3,57,59,83.8,11.7,37,45.3,"-"
2015,"Greece",94.7,51.9,58.6,56.7,68.9,9.7,33.2,44.9,"-"
2016,"Greece",165.4,79.3,61.5,59.2,54.4,7.4,29.1,47.2,87.1
2017,"Greece",148.3,58.2,59.7,53.9,55.9,8.3,31.6,52,87.3
2018,"Greece",137.4,53.8,60.9,54.2,63.2,9.5,32.2,52.8,92.6
2019,"Greece",137.8,49.6,61.4,55.2,56.7,9.8,32.2,51.9,94.2
2020,"Greece",133.1,43.7,59.7,56.2,55.7,10.6,33.8,52.5,94.2
2021,"Greece",129.9,38.9,55.9,57,61,10.1,33.9,51.9,94.2
2022,"Greece",129.2,39.7,52.6,57.3,56.2,10.1,33.8,51.9,94.2
2023,"Greece",128.6,41.9,53,57.5,54.6,11.5,33.7,51.6,91.8
2024,"Greece",127.2,42.1,53.3,57.3,54.2,13.6,33.6,52,93.8
2025,"Greece",138.1,60.7,53.6,58.5,46.5,13,32.8,49.4,91.8
2026,"Greece",140.8,65.4,53.8,58.9,54,12.5,32.3,49.2,93
